Country,Population,Area (km2),ID
Afghanistan,36373176,652860,1
Albania,2934363,27400,2
Algeria,42008054,2381740,3
American Samoa,55679,200,4
Andorra,76953,470,5
Angola,30774205,1246700,6
Anguilla,15045,90,7
Antigua and Barbuda,103050,440,8
Argentina,44688864,2736690,9
Armenia,2934152,28470,10
Aruba,105670,180,11
Australia,24772247,7682300,12
Austria,8751820,82409,13
Azerbaijan,9923914,82658,14
Bahamas,399285,10010,15
Bahrain,1566993,760,16
Bangladesh,166368149,130170,17
Barbados,286388,430,18
Belarus,9452113,202910,19
Belgium,11498519,30280,20
Belize,382444,22810,21
Benin,11485674,112760,22
Bermuda,61070,50,23
Bhutan,817054,38117,24
Bolivia,11215674,1083300,25
Bosnia & Herzegovina,3503554,51000,26
Botswana,2333201,566730,27
Brazil,210867954,8358140,28
British Virgin Islands,31719,150,29
Brunei,434076,5270,30
Bulgaria,7036848,108560,31
Burkina Faso,19751651,273600,32
Burundi,11216450,25680,33
Cabo Verde,553335,4030,34
Cambodia,16245729,176520,35
Cameroon,24678234,472710,36
Canada,36953765,9093510,37
Caribbean Netherlands,25702,328,38
Cayman Islands,62348,240,39
Central African Republic,4737423,622980,40
Chad,15353184,1259200,41
Channel Islands,166083,190,42
Chile,18197209,743532,43
China,1415045928,9388211,44
Colombia,49464683,1109500,45
Comoros,832347,1861,46
Congo,5399895,341500,47
Cook Islands,17411,240,48
Costa Rica,4953199,51060,49
Cote d'Ivoire,24905843,318000,50
Croatia,4164783,55960,51
Cuba,11489082,106440,52
Curacao,161577,444,53
Cyprus,1189085,9240,54
Czech Republic,10625250,77240,55
Denmark,5754356,42430,56
Djibouti,971408,23180,57
Dominica,74308,750,58
Dominican Republic,10882996,48320,59
DR Congo,84004989,2267050,60
Ecuador,16863425,248360,61
Egypt,99375741,995450,62
El Salvador,6411558,20720,63
Equatorial Guinea,1313894,28050,64
Eritrea,5187948,101000,65
Estonia,1306788,42390,66
Ethiopia,107534882,1000000,67
Faeroe Islands,49489,1396,68
Falkland Islands,2922,12170,69
Fiji,912241,18270,70
Finland,5542517,303890,71
France,65233271,547557,72
French Guiana,289763,82200,73
French Polynesia,285859,3660,74
Gabon,2067561,257670,75
Gambia,2163765,10120,76
Georgia,3907131,69490,77
Germany,82293457,348560,78
Ghana,29463643,227540,79
Gibraltar,34733,10,80
Greece,11142161,128900,81
Greenland,56565,410450,82
Grenada,108339,340,83
Guadeloupe,449173,1690,84
Guam,165718,540,85
Guatemala,17245346,107160,86
Guinea,13052608,245720,87
Guinea-Bissau,1907268,28120,88
Guyana,782225,196850,89
Haiti,11112945,27560,90
Holy See,801,0.17,91
Honduras,9417167,111890,92
Hong Kong,7428887,1050,93
Hungary,9688847,90530,94
Iceland,337780,100250,95
India,1354051854,2973190,96
Indonesia,266794980,1811570,97
Iran,82011735,1628550,98
Iraq,39339753,434320,99
Ireland,4803748,68890,100
Isle of Man,84831,570,101
Israel,8452841,21640,102
Italy,59290969,294140,103
Jamaica,2898677,10830,104
Japan,127185332,364555,105
Jordan,9903802,88780,106
Kazakhstan,18403860,2699700,107
Kenya,50950879,569140,108
Kiribati,118414,810,109
Kuwait,4197128,17820,110
Kyrgyzstan,6132932,191800,111
Laos,6961210,230800,112
Latvia,1929938,62200,113
Lebanon,6093509,10230,114
Lesotho,2263010,30360,115
Liberia,4853516,96320,116
Libya,6470956,1759540,117
Liechtenstein,38155,160,118
Lithuania,2876475,62674,119
Luxembourg,590321,2590,120
Macao,632418,30,121
Madagascar,26262810,581795,122
Malawi,19164728,94280,123
Malaysia,32042458,328550,124
Maldives,444259,300,125
Mali,19107706,1220190,126
Malta,432089,320,127
Marshall Islands,53167,180,128
Martinique,385065,1060,129
Mauritania,4540068,1030700,130
Mauritius,1268315,2030,131
Mayotte,259682,375,132
Mexico,130759074,1943950,133
Micronesia,106227,700,134
Moldova,4041065,32850,135
Monaco,38897,1,136
Mongolia,3121772,1553560,137
Montenegro,629219,13450,138
Montserrat,5203,100,139
Morocco,36191805,446300,140
Mozambique,30528673,786380,141
Myanmar,53855735,653290,142
Namibia,2587801,823290,143
Nauru,11312,20,144
Nepal,29624035,143350,145
Netherlands,17084459,33720,146
New Caledonia,279821,18280,147
New Zealand,4749598,263310,148
Nicaragua,6284757,120340,149
Niger,22311375,1266700,150
Nigeria,195875237,910770,151
Niue,1624,260,152
North Korea,25610672,120410,153
Northern Mariana Islands,55194,460,154
Norway,5353363,365268,155
Oman,4829946,309500,156
Pakistan,200813818,770880,157
Palau,21964,460,158
Panama,4162618,74340,159
Papua New Guinea,8418346,452860,160
Paraguay,6896908,397300,161
Peru,32551815,1280000,162
Philippines,106512074,298170,163
Poland,38104832,306230,164
Portugal,10291196,91590,165
Puerto Rico,3659007,8870,166
Qatar,2694849,11610,167
Reunion,883247,2500,168
Romania,19580634,230170,169
Russia,143964709,16376870,170
Rwanda,12501156,24670,171
Saint Helena,4074,390,172
Saint Kitts & Nevis,55850,260,173
Saint Lucia,179667,610,174
Saint Pierre & Miquelon,6342,230,175
Samoa,197695,2830,176
San Marino,33557,60,177
Sao Tome & Principe,208818,960,178
Saudi Arabia,33554343,2149690,179
Senegal,16294270,192530,180
Serbia,8762027,87460,181
Seychelles,95235,460,182
Sierra Leone,7719729,72180,183
Singapore,5791901,700,184
Sint Maarten,40552,34,185
Slovakia,5449816,48088,186
Slovenia,2081260,20140,187
Solomon Islands,623281,27990,188
Somalia,15181925,627340,189
South Africa,57398421,1213090,190
South Korea,51164435,97230,191
South Sudan,12919053,610952,192
Spain,46397452,498800,193
Sri Lanka,20950041,62710,194
St. Vincent & Grenadines,110200,390,195
State of Palestine,5052776,6020,196
Sudan,41511526,1765048,197
Suriname,568301,156000,198
Swaziland,1391385,17200,199
Sweden,9982709,410340,200
Switzerland,8544034,39516,201
Syria,18284407,183630,202
Taiwan,23694089,35410,203
Tajikistan,9107211,139960,204
Tanzania,59091392,885800,205
TFYR Macedonia,2085051,25220,206
Thailand,69183173,510890,207
Timor-Leste,1324094,14870,208
Togo,7990926,54390,209
Tokelau,1319,10,210
Tonga,109008,720,211
Trinidad and Tobago,1372598,5130,212
Tunisia,11659174,155360,213
Turkey,81916871,769630,214
Turkmenistan,5851466,469930,215
Turks and Caicos,35963,950,216
Tuvalu,11287,30,217
U.K.,66573504,241930,218
U.S.,326766748,9147420,219
U.S. Virgin Islands,104914,350,220
Uganda,44270563,199810,221
Ukraine,44009214,579320,222
United Arab Emirates,9541615,83600,223
Uruguay,3469551,175020,224
Uzbekistan,32364996,425400,225
Vanuatu,282117,12190,226
Venezuela,32381221,882050,227
Viet Nam,96491146,310070,228
Wallis & Futuna,11683,140,229
Western Sahara,567421,266000,230
Yemen,28915284,527970,231
Zambia,17609178,743390,232
Zimbabwe,16913261,386850,233
