State,Population,Area (Sq Miles),ID
Alabama,4833722,50744,1
Alaska,735132,571951.26,2
Arizona,6626624,113634.57,3
Arkansas,2959373,52068.17,4
California,38332521,155959.34,5
Colorado,5268367,103717.53,6
Connecticut,3596080,4844.8,7
Delaware,925749,1953.56,8
District of Columbia,646449,61.4,9
Florida,19552860,53926.82,10
Georgia,9992167,57906.14,11
Hawaii,1404054,6422.62,12
Idaho,1612136,82747.21,13
Illinois,12882135,55583.58,14
Indiana,6570902,35866.9,15
Iowa,3090416,55869.36,16
Kansas,2893957,81814.88,17
Kentucky,4395295,39728.18,18
Louisiana,4625470,43561.85,19
Maine,1328302,30861.55,20
Maryland,5928814,9773.82,21
Massachusetts,6692824,7840.02,22
Michigan,9895622,56803.82,23
Minnesota,5420380,79610.08,24
Mississippi,2991207,46906.96,25
Missouri,6044171,68885.93,26
Montana,1015165,145552.43,27
Nebraska,1868516,76872.41,28
Nevada,2790136,109825.99,29
New Hampshire,1323459,8968.1,30
New Jersey,8899339,7417.34,31
New Mexico,2085287,121355.53,32
New York,19651127,47213.79,33
North Carolina,9848060,48710.88,34
North Dakota,723393,68975.93,35
Ohio,11570808,40948.38,36
Oklahoma,3850568,68667.06,37
Oregon,3930065,95996.79,38
Pennsylvania,12773801,44816.61,39
Rhode Island,1051511,1044.93,40
South Carolina,4774839,30109.47,41
South Dakota,844877,75884.64,42
Tennessee,6495978,41217.12,43
Texas,26448193,261797.12,44
Utah,2900872,82143.65,45
Vermont,626630,9249.56,46
Virginia,8260405,39594.07,47
Washington,6971406,66544.06,48
West Virginia,1854304,24077.73,49
Wisconsin,5742713,54310.1,50
Wyoming,582658,97100.4,51
